,nace_code,level,description
508,45.11,4,Sale of cars and light motor vehicles
509,45.19,4,Sale of other motor vehicles
510,45.2,3,Maintenance and repair of motor vehicles
511,45.20,4,Maintenance and repair of motor vehicles
512,45.3,3,Sale of motor vehicle parts and accessories
513,45.31,4,Wholesale trade of motor vehicle parts and accessories
514,45.32,4,Retail trade of motor vehicle parts and accessories
515,45.4,3,"Sale, maintenance and repair of motorcycles and related parts and accessories"
516,45.40,4,"Sale, maintenance and repair of motorcycles and related parts and accessories"
517,46,2,"Wholesale trade, except of motor vehicles and motorcycles"
518,46.1,3,Wholesale on a fee or contract basis
519,46.11,4,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
520,46.12,4,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
521,46.13,4,Agents involved in the sale of timber and building materials
522,46.14,4,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
523,46.15,4,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
524,46.16,4,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
525,46.17,4,"Agents involved in the sale of food, beverages and tobacco"
526,46.18,4,Agents specialised in the sale of other particular products
527,46.19,4,Agents involved in the sale of a variety of goods
528,46.2,3,Wholesale of agricultural raw materials and live animals
529,46.21,4,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
530,46.22,4,Wholesale of flowers and plants
531,46.23,4,Wholesale of live animals
532,46.24,4,"Wholesale of hides, skins and leather"
533,46.3,3,"Wholesale of food, beverages and tobacco"
534,46.31,4,Wholesale of fruit and vegetables
535,46.32,4,Wholesale of meat and meat products
536,46.33,4,"Wholesale of dairy products, eggs and edible oils and fats"
537,46.34,4,Wholesale of beverages
538,46.35,4,Wholesale of tobacco products
539,46.36,4,Wholesale of sugar and chocolate and sugar confectionery
540,46.37,4,"Wholesale of coffee, tea, cocoa and spices"
541,46.38,4,"Wholesale of other food, including fish, crustaceans and molluscs"
542,46.39,4,"Non-specialised wholesale of food, beverages and tobacco"
543,46.4,3,Wholesale of household goods
544,46.41,4,Wholesale of textiles
545,46.42,4,Wholesale of clothing and footwear
546,46.43,4,Wholesale of electrical household appliances
547,46.44,4,Wholesale of china and glassware and cleaning materials
548,46.45,4,Wholesale of perfume and cosmetics
549,46.46,4,Wholesale of pharmaceutical goods
550,46.47,4,"Wholesale of furniture, carpets and lighting equipment"
551,46.48,4,Wholesale of watches and jewellery
552,46.49,4,Wholesale of other household goods
553,46.5,3,Wholesale of information and communication equipment
554,46.51,4,"Wholesale of computers, computer peripheral equipment and software"
555,46.52,4,Wholesale of electronic and telecommunications equipment and parts
556,46.6,3,"Wholesale of other machinery, equipment and supplies"
557,46.61,4,"Wholesale of agricultural machinery, equipment and supplies"
558,46.62,4,Wholesale of machine tools
559,46.63,4,"Wholesale of mining, construction and civil engineering machinery"
560,46.64,4,Wholesale of machinery for the textile industry and of sewing and knitting machines
561,46.65,4,Wholesale of office furniture
562,46.66,4,Wholesale of other office machinery and equipment
563,46.69,4,Wholesale of other machinery and equipment
564,46.7,3,Other specialised wholesale
565,46.71,4,"Wholesale of solid, liquid and gaseous fuels and related products"
566,46.72,4,Wholesale of metals and metal ores
567,46.73,4,"Wholesale of wood, construction materials and sanitary equipment"
568,46.74,4,"Wholesale of hardware, plumbing and heating equipment and supplies"
569,46.75,4,Wholesale of chemical products
570,46.76,4,Wholesale of other intermediate products
571,46.77,4,Wholesale of waste and scrap
572,46.9,3,Non-specialised wholesale trade
573,46.90,4,Non-specialised wholesale trade
574,47,2,"Retail trade, except of motor vehicles and motorcycles"
575,47.1,3,Retail sale in non-specialised stores
576,47.11,4,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
577,47.19,4,Other retail sale in non-specialised stores
578,47.2,3,"Retail sale of food, beverages and tobacco in specialised stores"
579,47.21,4,Retail sale of fruit and vegetables in specialised stores
580,47.22,4,Retail sale of meat and meat products in specialised stores
581,47.23,4,"Retail sale of fish, crustaceans and molluscs in specialised stores"
582,47.24,4,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
583,47.25,4,Retail sale of beverages in specialised stores
584,47.26,4,Retail sale of tobacco products in specialised stores
585,47.29,4,Other retail sale of food in specialised stores
586,47.3,3,Retail sale of automotive fuel in specialised stores
587,47.30,4,Retail sale of automotive fuel in specialised stores
588,47.4,3,Retail sale of information and communication equipment in specialised stores
589,47.41,4,"Retail sale of computers, peripheral units and software in specialised stores"
590,47.42,4,Retail sale of telecommunications equipment in specialised stores
591,47.43,4,Retail sale of audio and video equipment in specialised stores
592,47.5,3,Retail sale of other household equipment in specialised stores
593,47.51,4,Retail sale of textiles in specialised stores
594,47.52,4,"Retail sale of hardware, paints and glass in specialised stores"
595,47.53,4,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
596,47.54,4,Retail sale of electrical household appliances in specialised stores
597,47.59,4,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
598,47.6,3,Retail sale of cultural and recreation goods in specialised stores
599,47.61,4,Retail sale of books in specialised stores
600,47.62,4,Retail sale of newspapers and stationery in specialised stores
601,47.63,4,Retail sale of music and video recordings in specialised stores
602,47.64,4,Retail sale of sporting equipment in specialised stores
603,47.65,4,Retail sale of games and toys in specialised stores
604,47.7,3,Retail sale of other goods in specialised stores
605,47.71,4,Retail sale of clothing in specialised stores
606,47.72,4,Retail sale of footwear and leather goods in specialised stores
607,47.73,4,Dispensing chemist in specialised stores
608,47.74,4,Retail sale of medical and orthopaedic goods in specialised stores
609,47.75,4,Retail sale of cosmetic and toilet articles in specialised stores
610,47.76,4,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
611,47.77,4,Retail sale of watches and jewellery in specialised stores
612,47.78,4,Other retail sale of new goods in specialised stores
613,47.79,4,Retail sale of second-hand goods in stores
614,47.8,3,Retail sale via stalls and markets
615,47.81,4,"Retail sale via stalls and markets of food, beverages and tobacco products"
616,47.82,4,"Retail sale via stalls and markets of textiles, clothing and footwear"
617,47.89,4,Retail sale via stalls and markets of other goods
618,47.9,3,"Retail trade not in stores, stalls or markets"
619,47.91,4,Retail sale via mail order houses or via Internet
620,47.99,4,"Other retail sale not in stores, stalls or markets"
621,H,1,TRANSPORTATION AND STORAGE
622,49,2,Land transport and transport via pipelines
623,49.1,3,"Passenger rail transport, interurban"
624,49.10,4,"Passenger rail transport, interurban"
625,49.2,3,Freight rail transport
626,49.20,4,Freight rail transport
627,49.3,3,Other passenger land transport
628,49.31,4,Urban and suburban passenger land transport
629,49.32,4,Taxi operation
630,49.39,4,Other passenger land transport n.e.c.
631,49.4,3,Freight transport by road and removal services
632,49.41,4,Freight transport by road
633,49.42,4,Removal services
634,49.5,3,Transport via pipeline
635,49.50,4,Transport via pipeline
636,50,2,Water transport
637,50.1,3,Sea and coastal passenger water transport
638,50.10,4,Sea and coastal passenger water transport
639,50.2,3,Sea and coastal freight water transport
640,50.20,4,Sea and coastal freight water transport
641,50.3,3,Inland passenger water transport
642,50.30,4,Inland passenger water transport
643,50.4,3,Inland freight water transport
644,50.40,4,Inland freight water transport
645,51,2,Air transport
646,51.1,3,Passenger air transport
647,51.10,4,Passenger air transport
648,51.2,3,Freight air transport and space transport
649,51.21,4,Freight air transport
650,51.22,4,Space transport
651,52,2,Warehousing and support activities for transportation
652,52.1,3,Warehousing and storage
653,52.10,4,Warehousing and storage
654,52.2,3,Support activities for transportation
655,52.21,4,Service activities incidental to land transportation
656,52.22,4,Service activities incidental to water transportation
657,52.23,4,Service activities incidental to air transportation
658,52.24,4,Cargo handling
659,52.29,4,Other transportation support activities
660,53,2,Postal and courier activities
661,53.1,3,Postal activities under universal service obligation
662,53.10,4,Postal activities under universal service obligation
663,53.2,3,Other postal and courier activities
664,53.20,4,Other postal and courier activities
665,I,1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
666,55,2,Accommodation
667,55.1,3,Hotels and similar accommodation
668,55.10,4,Hotels and similar accommodation
669,55.2,3,Holiday and other short-stay accommodation
670,55.20,4,Holiday and other short-stay accommodation
671,55.3,3,"Camping grounds, recreational vehicle parks and trailer parks"
672,55.30,4,"Camping grounds, recreational vehicle parks and trailer parks"
673,55.9,3,Other accommodation
674,55.90,4,Other accommodation
675,56,2,Food and beverage service activities
676,56.1,3,Restaurants and mobile food service activities
677,56.10,4,Restaurants and mobile food service activities
678,56.2,3,Event catering and other food service activities
679,56.21,4,Event catering activities
680,56.29,4,Other food service activities
681,56.3,3,Beverage serving activities
682,56.30,4,Beverage serving activities
683,J,1,INFORMATION AND COMMUNICATION
684,58,2,Publishing activities
685,58.1,3,"Publishing of books, periodicals and other publishing activities"
686,58.11,4,Book publishing
687,58.12,4,Publishing of directories and mailing lists
688,58.13,4,Publishing of newspapers
689,58.14,4,Publishing of journals and periodicals
690,58.19,4,Other publishing activities
691,58.2,3,Software publishing
692,58.21,4,Publishing of computer games
693,58.29,4,Other software publishing
694,59,2,"Motion picture, video and television programme production, sound recording and music publishing activities"
695,59.1,3,"Motion picture, video and television programme activities"
696,59.11,4,"Motion picture, video and television programme production activities"
697,59.12,4,"Motion picture, video and television programme post-production activities"
698,59.13,4,"Motion picture, video and television programme distribution activities"
699,59.14,4,Motion picture projection activities
700,59.2,3,Sound recording and music publishing activities
701,59.20,4,Sound recording and music publishing activities
702,60,2,Programming and broadcasting activities
703,60.1,3,Radio broadcasting
704,60.10,4,Radio broadcasting
705,60.2,3,Television programming and broadcasting activities
706,60.20,4,Television programming and broadcasting activities
707,61,2,Telecommunications
708,61.1,3,Wired telecommunications activities
709,61.10,4,Wired telecommunications activities
710,61.2,3,Wireless telecommunications activities
711,61.20,4,Wireless telecommunications activities
712,61.3,3,Satellite telecommunications activities
713,61.30,4,Satellite telecommunications activities
714,61.9,3,Other telecommunications activities
715,61.90,4,Other telecommunications activities
716,62,2,"Computer programming, consultancy and related activities"
717,62.0,3,"Computer programming, consultancy and related activities"
718,62.01,4,Computer programming activities
719,62.02,4,Computer consultancy activities
720,62.03,4,Computer facilities management activities
721,62.09,4,Other information technology and computer service activities
722,63,2,Information service activities
723,63.1,3,"Data processing, hosting and related activities; web portals"
724,63.11,4,"Data processing, hosting and related activities"
725,63.12,4,Web portals
726,63.9,3,Other information service activities
727,63.91,4,News agency activities
728,63.99,4,Other information service activities n.e.c.
729,K,1,FINANCIAL AND INSURANCE ACTIVITIES
730,64,2,"Financial service activities, except insurance and pension funding"
731,64.1,3,Monetary intermediation
732,64.11,4,Central banking
733,64.19,4,Other monetary intermediation
734,64.2,3,Activities of holding companies
735,64.20,4,Activities of holding companies
736,64.3,3,"Trusts, funds and similar financial entities"
737,64.30,4,"Trusts, funds and similar financial entities"
738,64.9,3,"Other financial service activities, except insurance and pension funding"
739,64.91,4,Financial leasing
740,64.92,4,Other credit granting
741,64.99,4,"Other financial service activities, except insurance and pension funding n.e.c."
742,65,2,"Insurance, reinsurance and pension funding, except compulsory social security"
743,65.1,3,Insurance
744,65.11,4,Life insurance
745,65.12,4,Non-life insurance
746,65.2,3,Reinsurance
747,65.20,4,Reinsurance
748,65.3,3,Pension funding
749,65.30,4,Pension funding
750,66,2,Activities auxiliary to financial services and insurance activities
751,66.1,3,"Activities auxiliary to financial services, except insurance and pension funding"
752,66.11,4,Administration of financial markets
753,66.12,4,Security and commodity contracts brokerage
754,66.19,4,"Other activities auxiliary to financial services, except insurance and pension funding"
755,66.2,3,Activities auxiliary to insurance and pension funding
756,66.21,4,Risk and damage evaluation
757,66.22,4,Activities of insurance agents and brokers
758,66.29,4,Other activities auxiliary to insurance and pension funding
759,66.3,3,Fund management activities
760,66.30,4,Fund management activities
761,L,1,REAL ESTATE ACTIVITIES
762,68,2,Real estate activities
763,68.1,3,Buying and selling of own real estate
764,68.10,4,Buying and selling of own real estate
765,68.2,3,Renting and operating of own or leased real estate
766,68.20,4,Renting and operating of own or leased real estate
767,68.3,3,Real estate activities on a fee or contract basis
768,68.31,4,Real estate agencies
769,68.32,4,Management of real estate on a fee or contract basis
770,M,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
771,69,2,Legal and accounting activities
772,69.1,3,Legal activities
773,69.10,4,Legal activities
774,69.2,3,"Accounting, bookkeeping and auditing activities; tax consultancy"
775,69.20,4,"Accounting, bookkeeping and auditing activities; tax consultancy"
776,70,2,Activities of head offices; management consultancy activities
777,70.1,3,Activities of head offices
778,70.10,4,Activities of head offices
779,70.2,3,Management consultancy activities
780,70.21,4,Public relations and communication activities
781,70.22,4,Business and other management consultancy activities
782,71,2,Architectural and engineering activities; technical testing and analysis
783,71.1,3,Architectural and engineering activities and related technical consultancy
784,71.11,4,Architectural activities
785,71.12,4,Engineering activities and related technical consultancy
786,71.2,3,Technical testing and analysis
787,71.20,4,Technical testing and analysis
788,72,2,Scientific research and development
789,72.1,3,Research and experimental development on natural sciences and engineering
790,72.11,4,Research and experimental development on biotechnology
791,72.19,4,Other research and experimental development on natural sciences and engineering
792,72.2,3,Research and experimental development on social sciences and humanities
793,72.20,4,Research and experimental development on social sciences and humanities
794,73,2,Advertising and market research
795,73.1,3,Advertising
796,73.11,4,Advertising agencies
797,73.12,4,Media representation
798,73.2,3,Market research and public opinion polling
799,73.20,4,Market research and public opinion polling
800,74,2,"Other professional, scientific and technical activities"
801,74.1,3,Specialised design activities
802,74.10,4,Specialised design activities
803,74.2,3,Photographic activities
804,74.20,4,Photographic activities
805,74.3,3,Translation and interpretation activities
806,74.30,4,Translation and interpretation activities
807,74.9,3,"Other professional, scientific and technical activities n.e.c."
808,74.90,4,"Other professional, scientific and technical activities n.e.c."
809,75,2,Veterinary activities
810,75.0,3,Veterinary activities
811,75.00,4,Veterinary activities
812,N,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
813,77,2,Rental and leasing activities
814,77.1,3,Renting and leasing of motor vehicles
815,77.11,4,Renting and leasing of cars and light motor vehicles
816,77.12,4,Renting and leasing of trucks
817,77.2,3,Renting and leasing of personal and household goods
818,77.21,4,Renting and leasing of recreational and sports goods
819,77.22,4,Renting of video tapes and disks
820,77.29,4,Renting and leasing of other personal and household goods
821,77.3,3,"Renting and leasing of other machinery, equipment and tangible goods"
822,77.31,4,Renting and leasing of agricultural machinery and equipment
823,77.32,4,Renting and leasing of construction and civil engineering machinery and equipment
824,77.33,4,Renting and leasing of office machinery and equipment (including computers)
825,77.34,4,Renting and leasing of water transport equipment
826,77.35,4,Renting and leasing of air transport equipment
827,77.39,4,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
828,77.4,3,"Leasing of intellectual property and similar products, except copyrighted works"
829,77.40,4,"Leasing of intellectual property and similar products, except copyrighted works"
830,78,2,Employment activities
831,78.1,3,Activities of employment placement agencies
832,78.10,4,Activities of employment placement agencies
833,78.2,3,Temporary employment agency activities
834,78.20,4,Temporary employment agency activities
835,78.3,3,Other human resources provision
836,78.30,4,Other human resources provision
837,79,2,"Travel agency, tour operator reservation service and related activities"
838,79.1,3,Travel agency and tour operator activities
839,79.11,4,Travel agency activities
840,79.12,4,Tour operator activities
841,79.9,3,Other reservation service and related activities
842,79.90,4,Other reservation service and related activities
843,80,2,Security and investigation activities
844,80.1,3,Private security activities
845,80.10,4,Private security activities
846,80.2,3,Security systems service activities
847,80.20,4,Security systems service activities
848,80.3,3,Investigation activities
849,80.30,4,Investigation activities
850,81,2,Services to buildings and landscape activities
851,81.1,3,Combined facilities support activities
852,81.10,4,Combined facilities support activities
853,81.2,3,Cleaning activities
854,81.21,4,General cleaning of buildings
855,81.22,4,Other building and industrial cleaning activities
856,81.29,4,Other cleaning activities
857,81.3,3,Landscape service activities
858,81.30,4,Landscape service activities
859,82,2,"Office administrative, office support and other business support activities"
860,82.1,3,Office administrative and support activities
861,82.11,4,Combined office administrative service activities
862,82.19,4,"Photocopying, document preparation and other specialised office support activities"
863,82.2,3,Activities of call centres
864,82.20,4,Activities of call centres
865,82.3,3,Organisation of conventions and trade shows
866,82.30,4,Organisation of conventions and trade shows
867,82.9,3,Business support service activities n.e.c.
868,82.91,4,Activities of collection agencies and credit bureaus
869,82.92,4,Packaging activities
870,82.99,4,Other business support service activities n.e.c.
871,O,1,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
872,84,2,Public administration and defence; compulsory social security
873,84.1,3,Administration of the State and the economic and social policy of the community
874,84.11,4,General public administration activities
875,84.12,4,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
876,84.13,4,Regulation of and contribution to more efficient operation of businesses
877,84.2,3,Provision of services to the community as a whole
878,84.21,4,Foreign affairs
879,84.22,4,Defence activities
880,84.23,4,Justice and judicial activities
881,84.24,4,Public order and safety activities
882,84.25,4,Fire service activities
883,84.3,3,Compulsory social security activities
884,84.30,4,Compulsory social security activities
885,P,1,EDUCATION
886,85,2,Education
887,85.1,3,Pre-primary education
888,85.10,4,Pre-primary education
889,85.2,3,Primary education
890,85.20,4,Primary education
891,85.3,3,Secondary education
892,85.31,4,General secondary education
893,85.32,4,Technical and vocational secondary education
894,85.4,3,Higher education
895,85.41,4,Post-secondary non-tertiary education
896,85.42,4,Tertiary education
897,85.5,3,Other education
898,85.51,4,Sports and recreation education
899,85.52,4,Cultural education
900,85.53,4,Driving school activities
901,85.59,4,Other education n.e.c.
902,85.6,3,Educational support activities
903,85.60,4,Educational support activities
904,Q,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
905,86,2,Human health activities
906,86.1,3,Hospital activities
907,86.10,4,Hospital activities
908,86.2,3,Medical and dental practice activities
909,86.21,4,General medical practice activities
910,86.22,4,Specialist medical practice activities
911,86.23,4,Dental practice activities
912,86.9,3,Other human health activities
913,86.90,4,Other human health activities
914,87,2,Residential care activities
915,87.1,3,Residential nursing care activities
916,87.10,4,Residential nursing care activities
917,87.2,3,"Residential care activities for mental retardation, mental health and substance abuse"
918,87.20,4,"Residential care activities for mental retardation, mental health and substance abuse"
919,87.3,3,Residential care activities for the elderly and disabled
920,87.30,4,Residential care activities for the elderly and disabled
921,87.9,3,Other residential care activities
922,87.90,4,Other residential care activities
923,88,2,Social work activities without accommodation
924,88.1,3,Social work activities without accommodation for the elderly and disabled
925,88.10,4,Social work activities without accommodation for the elderly and disabled
926,88.9,3,Other social work activities without accommodation
927,88.91,4,Child day-care activities
928,88.99,4,Other social work activities without accommodation n.e.c.
929,R,1,"ARTS, ENTERTAINMENT AND RECREATION"
930,90,2,"Creative, arts and entertainment activities"
931,90.0,3,"Creative, arts and entertainment activities"
932,90.01,4,Performing arts
933,90.02,4,Support activities to performing arts
934,90.03,4,Artistic creation
935,90.04,4,Operation of arts facilities
936,91,2,"Libraries, archives, museums and other cultural activities"
937,91.0,3,"Libraries, archives, museums and other cultural activities"
938,91.01,4,Library and archives activities
939,91.02,4,Museums activities
940,91.03,4,Operation of historical sites and buildings and similar visitor attractions
941,91.04,4,Botanical and zoological gardens and nature reserves activities
942,92,2,Gambling and betting activities
943,92.0,3,Gambling and betting activities
944,92.00,4,Gambling and betting activities
945,93,2,Sports activities and amusement and recreation activities
946,93.1,3,Sports activities
947,93.11,4,Operation of sports facilities
948,93.12,4,Activities of sport clubs
949,93.13,4,Fitness facilities
950,93.19,4,Other sports activities
951,93.2,3,Amusement and recreation activities
952,93.21,4,Activities of amusement parks and theme parks
953,93.29,4,Other amusement and recreation activities
954,S,1,OTHER SERVICE ACTIVITIES
955,94,2,Activities of membership organisations
956,94.1,3,"Activities of business, employers and professional membership organisations"
957,94.11,4,Activities of business and employers membership organisations
958,94.12,4,Activities of professional membership organisations
959,94.2,3,Activities of trade unions
960,94.20,4,Activities of trade unions
961,94.9,3,Activities of other membership organisations
962,94.91,4,Activities of religious organisations
963,94.92,4,Activities of political organisations
964,94.99,4,Activities of other membership organisations n.e.c.
965,95,2,Repair of computers and personal and household goods
966,95.1,3,Repair of computers and communication equipment
967,95.11,4,Repair of computers and peripheral equipment
968,95.12,4,Repair of communication equipment
969,95.2,3,Repair of personal and household goods
970,95.21,4,Repair of consumer electronics
971,95.22,4,Repair of household appliances and home and garden equipment
972,95.23,4,Repair of footwear and leather goods
973,95.24,4,Repair of furniture and home furnishings
974,95.25,4,"Repair of watches, clocks and jewellery"
975,95.29,4,Repair of other personal and household goods
976,96,2,Other personal service activities
977,96.0,3,Other personal service activities
978,96.01,4,Washing and (dry-)cleaning of textile and fur products
979,96.02,4,Hairdressing and other beauty treatment
980,96.03,4,Funeral and related activities
981,96.04,4,Physical well-being activities
982,96.09,4,Other personal service activities n.e.c.
983,T,1,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
984,97,2,Activities of households as employers of domestic personnel
985,97.0,3,Activities of households as employers of domestic personnel
986,97.00,4,Activities of households as employers of domestic personnel
987,98,2,Undifferentiated goods- and services-producing activities of private households for own use
988,98.1,3,Undifferentiated goods-producing activities of private households for own use
989,98.10,4,Undifferentiated goods-producing activities of private households for own use
990,98.2,3,Undifferentiated service-producing activities of private households for own use
991,98.20,4,Undifferentiated service-producing activities of private households for own use
992,U,1,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
993,99,2,Activities of extraterritorial organisations and bodies
994,99.0,3,Activities of extraterritorial organisations and bodies
995,99.00,4,Activities of extraterritorial organisations and bodies
